product_name,brand,category,initial_price,final_price,rating,brand_encoded,category_encoded
"ROMWE Fairycore 10pcs Fall Star & Moon Hand-Painted False Nails + 3pcs Double-Sided Adhesive, Removable Manicure Stickers, High Gloss Colorful Nail Art, Fit For Holiday Party, Dance & Daily Wear",ROMWE,Press On False Nails,7.2,6.3,0,22,346
Unbeatablesale Super Talent FNX512MORM NGFF DX3 512GB M.2 SATA3 Solid State Drive,Unbeatablesale,Computer & Office Accessories,48.79,48.79,0,30,74
30.7inches Outdoor Water Fountain - 6-Tiers Rock Waterfall Fountain With Led Lights For Home Garden Decor,SHEIN,Floor-Standing Fountains,235.6,170.4,0,25,153
30pcs-2024 Graduation Cap Gift Box Graduation Party Favors Box Candy Treat Box With Gold Tassel - Class Of 2024 Congrats Grad Centerpieces For Table Graduation Party Decorations 2024 - Black Gold,SHEIN,Gift Wrap Boxes,7.3,7.1,0,25,167
Unbeatablesale 2066-11x14-GC 11 X 14 In. Sidewalk Cafe Poster Print By Van Gogh,Unbeatablesale,Posters & Prints,10.67,10.67,0,30,344
Infant Anti-Fall Pillow Head Protector Toddler Walking Safety Pad,SHEIN,Baby Safety Harnesses & Leashes,17.4,11.31,0,25,12
Tape In Hair Extensions Synthetic Hair 24 Inches 10pcs 55g/Pack Straight Hair Superior Quality Synthetic Extensions,SHEIN,Synthetic Extensions,7.0,3.5,0,25,403
"Casual Solid Color Shoulder Bag, New Fashionable Minimalist Crossbody Handbag",SHEIN,Women Top Handle Bags,10.5,6.83,0,25,493
Marc Jacobs Women's Handbag WHITE H009L01SP21140-2,Marc Jacobs,Women Top Handle Bags,504.16,381.5,0,15,493
"JAKEHOE Multi-Purpose Fabric Stain Remover, Gentle Cleaning For Stubborn Grease And Dirt",SHEIN,"Clothes, Carpets and Leather Cleaners, Bleaches & Softeners",3.5,3.4,0,25,66
"1pc/3pcs 10mm Cute Flower Silicone Straw Caps, Reusable Straw Dust Plugs For 30oz & 40oz Tumblers, Valentine's Day Gift School Supplies,Back To School",SHEIN,Straw,1.9,1.8,0,25,399
Unbeatablesale 15-1900-2424-608 PVC Board 24 X 24 In. - Dark Blue - 1 Piece,Unbeatablesale,Whiteboard,26.69,26.69,0,30,445
"1pc Unique Design Gray Cubic Zirconia, White Jade Flower, Pearl & Tassel Decor Drop Earrings For Women Daily Wear",SHEIN,Women Dangle Earrings,14.7,14.7,0,25,467
Unbeatablesale Summer Games Large,Unbeatablesale,Bird Toys,20.93,20.93,0,30,31
"12pcs/Set Red ""I Love You"" Letter Balloons Set, Includes Romantic Red Heart Balloons, 16 Inch ""I Love You"" Foil Letter Balloons, For Valentine's Day, Proposal, Wedding Party Decor, Home Decor, Bridal Shower, Special Romantic Night, Anniversary, Birthday Party Decoration",SHEIN,Decorative Balloons,2.8,2.7,0,25,98
"1pc Unisex Square Color Changing Polarized Sunglasses, UV Protection For Driving, Fishing",SHEIN,Sports Glasses,3.6,2.74,0,25,386
Unbeatablesale TDI Brands 31-2052 Dewit Dutch Transplant Spade,Unbeatablesale,Gardening Tools,158.02,158.02,0,30,162
"Juli Kids Ski Goggles,Interchangeable Double Layer Spherical Lens,OTG Anti-Fog Snowboard Skate Snow Goggles Age 4-16 4300",SHEIN,Kids Sports Goggles,39.99,29.99,0,25,225
1pc Tulle Bow Headpiece Minimalist Wedding Veil Hair Accessory Witch,SHEIN,Bridal Veils,5.1,4.9,0,25,34
Jewellery Pop Beads Kid Toy  Gift 248 Pieces DIY Fashion Beads Set For Necklace Bracelet Art Crafts Motor Skill Training Toy For Girls 3+,SHEIN,Kids Abacuses,14.4,14.4,0,25,207
20ft * 8ft Light Pink Sheer Chiffon Backdrop Curtain For Parties 4 Panels 5*8ft Wrinkle Free Slight Glimmer Backdrop Drapes For Birthday Wedding Photo Photography Backgrounds,SHEIN,Party Backdrops,65.8,45.16,0,25,314
20pcs Solid Hair Claw,SHEIN,Hair Claws,1.4,1.18,0,25,174
"1 Set Of Socket Wrenches, Multifunctional Manual Tool Kit For Driving, Chrome Vanadium Steel, Professional Mechanical Car Motorcycle Bicycle Repair Tool, Durable Metal Shell 46-Piece Professional Socket Set - Durable 1/4 Inch Drive Ratchet Wrench Kit With Metric Sockets For Automotive Repair, Household Tasks, And DIY Projects - Includes Storage Case And Heavy-Duty Metal Construction",SHEIN,Hand Tool Sets,19.8,19.8,0,25,180
"1pc Unframed Glittery High-Glossy Fabric Rectangle Contemporary Canvas Poster - Reusable, Pre-Pasted, Multi-Surface Installation - Universe Spaceship UFO Painting, Starry Night Sky Artwork For Bedroom, Office, Living Room, Wall Decor, Home And Dormitory Decoration",SHEIN,Decorative Painting & Calligraphy,5.0,2.5,0,25,105
Women's Fashionable Versatile Retro-Style Pendant Multilayer Necklace,SHEIN,Women Layered Necklaces,1.6,1.6,0,25,477
Unbeatablesale KB WR1345 48 X 32 X 12 In. Wine Rack - Black,Unbeatablesale,Bars & Wine Cabinets,227.62,227.62,0,30,19
"1 Set Vintage Palace-Style British Floral Coffee Cup & Saucer Set, High-End Ceramic Coffee Cup & Saucer, French Afternoon Tea Dessert Cup & Saucer, Exquisite Gift Cup",SHEIN,Mugs,15.6,15.1,0,25,275
"DAZY 1PC Pink Color Solid Wide Headband, Classy Look, Elegent, For Casual And Daily Use",DAZY,Headbands,1.7,0.97,0,5,185
32 Large Wooden Floral Shapes - Craft Wood Decorations & Embellishments,SHEIN,Wooden Diy Base & Board,4.7,4.5,0,25,500
"Jepeak Jepeak Pack Of 4 Rhombus Textured Throw Pillow Covers Cushion Cases, Burlap Linen Decorative Pillow Covers For Sofa Couch Bed Home Decor, 20x20 Inch",Jepeak,Cushion Cover,36.4,26.2,0,12,87
"1PC Silk Roses Vine Artificial Flowers Fake Green Leaf Plants Valentine's Day Bride Bouquet For Autumn Decorations Wedding Vase For Home Dining Room Bedroom Decorations, Festival Birthday Party Accessories, Outdoor Garden Decorations",SHEIN,Artificial Flowers,2.4,1.85,0,25,4
